Wavelength,QE
399.198054,0.535302386
399.2075626,0.527703171
399.2162787,0.520737225
400.6734604,0.508705135
400.6829689,0.501105921
400.6924775,0.493506706
400.701986,0.485907492
402.1599601,0.473242134
401.9301707,0.464798563
403.6274427,0.452977562
403.3976533,0.444533991
405.0933405,0.433979526
405.8233841,0.42680249
407.2779245,0.416881294
406.9292785,0.407382276
408.2628494,0.398094347
408.0322676,0.390284043
409.2216258,0.592296494
409.2311344,0.58469728
409.2406429,0.577098065
409.2501514,0.569498851
409.2596599,0.561899636
409.2691685,0.554300422
409.5211444,0.545012493
408.5671223,0.539101993
408.5766308,0.531502779
408.5861393,0.523903564
408.5956478,0.51630435
408.6051564,0.508705135
408.6146649,0.501105921
408.6241734,0.493506706
408.6336819,0.485907492
408.6431905,0.478308277
408.652699,0.470709063
408.6622075,0.463109848
408.671716,0.455510634
408.6812246,0.447911419
408.6907331,0.440312205
408.7002416,0.43271299
408.7097502,0.425113776
410.5211245,0.706284711
410.530633,0.698685497
411.2633178,0.689397568
411.2728263,0.681798354
411.2823349,0.674199139
411.2928999,0.665755568
411.3024084,0.658156353
411.3103322,0.651823674
409.8761294,0.645490996
409.8856379,0.637891781
409.8951465,0.630292567
409.904655,0.622693352
409.9141635,0.615094138
409.9236721,0.607494923
409.9331806,0.599895709
414.183492,0.660689425
414.1930005,0.65309021
415.6478051,0.642957924
415.2975743,0.634725442
417.1113258,0.625859692
416.4021482,0.616360674
419.9480362,0.663855764
419.9583371,0.655623282
418.5225496,0.650557139
418.5320582,0.642957924
418.5415667,0.63535871
423.9950236,0.678524394
426.6555094,0.704524966
425.7046567,0.695799942
425.7141653,0.68794742
428.55563,0.723283767
428.5651385,0.715431246
432.8883486,0.718048753
431.4557306,0.710196231
435.7620366,0.726773777
437.9143973,0.735716926
439.569145,0.758620114
438.6172359,0.750767593
438.6267444,0.742915071
441.4824719,0.766472636
445.8130775,0.762982626
448.6851808,0.773016404
450.1214966,0.777815167
453.0136734,0.771271399
456.6010292,0.78610394
455.8910592,0.776942665
458.2703039,0.79701022
461.6220595,0.8079165
465.2228857,0.811624635
468.099215,0.818168403
472.0595164,0.822749041
476.3882731,0.820785911
476.0385706,0.811842761
480.3411789,0.831474065
478.9080327,0.824057795
485.0339009,0.826675302
488.0245967,0.838017833
490.4350082,0.832346568
491.1629387,0.826675302
494.759803,0.833655321
497.1723276,0.826239051
499.7998504,0.839762838
500.529894,0.832346568
502.7054977,0.822094664
506.3158324,0.817950278
510.6427403,0.817514027
514.9765154,0.81140651
519.296556,0.816641524
520.7318153,0.82231279
522.6683852,0.810970259
525.0798532,0.804426491
529.4072893,0.803553988
533.02185,0.795919592
534.051148,0.779560172
536.6353543,0.789157699
538.3775277,0.779560172
538.1001956,0.770398897
540.9606774,0.790030201
542.7744288,0.780868926
541.7015501,0.773670781
541.7134357,0.763855129
541.7205671,0.757965738
545.3298454,0.754693854
545.7799156,0.779996423
548.2022128,0.764509506
550.3780806,0.754039477
552.5494583,0.747277583
555.4442764,0.738552559
557.2535377,0.733099419
560.2492519,0.740297564
563.3833679,0.732445042
565.5565945,0.72415627
569.1661368,0.72066626
571.3404199,0.711504985
573.5154954,0.701689333
575.6879296,0.694054937
580.0227612,0.687074917
584.3586494,0.679222396
587.7288938,0.674859884
589.6633507,0.665262357
593.0372929,0.657846087
597.3731811,0.649993565
601.7090692,0.34523712
606.0417878,0.342422596
608.9307952,0.340311704
611.1034935,0.336089918
614.7220161,0.330226326
618.0970148,0.325769997
620.5116523,0.32084458
623.884538,0.317326425
625.5778481,0.31251828
627.7502824,0.308413766
632.0798315,0.307006504
635.6846196,0.307241048
637.137047,0.302667447
639.3084247,0.29903202
643.6395586,0.296921127
647.9680512,0.295982952
652.2991851,0.058774412
654.4766377,0.057507876
656.6525055,0.056382067
660.9862806,0.055725344
665.312132,0.055772253
668.9185049,0.055678436
668.2021958,0.055256257
670.3748942,0.0544119
671.5919856,0.053051547
673.0499597,0.051644285
675.4667102,0.050471566
679.0680646,0.050823382
682.6683626,0.051269015
684.8413251,0.050401203
686.2937525,0.049486483
689.1875141,0.048642126
692.0844452,0.047516316
694.9782068,0.046671959
694.2618978,0.046249781
697.5153987,0.045475787
696.8070134,0.044349977
697.9024749,0.043118623
701.446382,0.004857176
700.0129716,0.004779777
700.0224802,0.004695341
700.0319887,0.004610905
700.0446667,0.004498324
704.3361818,0.004807922
705.0683383,0.004709414
